trial,model,batch_size,learning_rate,training_time_s,test_accuracy_pct
5,numpy,128,0.001,14.075146599992877,84.47
1,tensorflow,128,0.003,8.477775899984408,89.46
1,numpy,128,0.003,13.992026599997189,89.58
2,tensorflow,128,0.003,8.58427799999481,89.17
2,numpy,128,0.003,14.16502310000942,89.63
3,tensorflow,128,0.003,8.338825299986638,89.18
3,numpy,128,0.003,13.998118999996223,89.46
4,tensorflow,128,0.003,8.218597600003704,89.34
4,numpy,128,0.003,14.046029199991608,90.0
5,tensorflow,128,0.003,8.80704259997583,89.29
5,numpy,128,0.003,14.253602599987062,89.31
1,tensorflow,128,0.01,8.370576199988136,91.77
1,numpy,128,0.01,13.936927600007039,92.25
2,tensorflow,128,0.01,8.464850399992429,92.15
2,numpy,128,0.01,13.923299800022505,91.9
3,tensorflow,128,0.01,8.253206199995475,92.09
3,numpy,128,0.01,14.19941000000108,92.17999999999999
4,tensorflow,128,0.01,8.777939199993853,92.03
4,numpy,128,0.01,14.259416700020665,92.38
5,tensorflow,128,0.01,8.573284699989017,91.96
5,numpy,128,0.01,14.728915300016524,92.19000000000001
1,tensorflow,128,0.03,8.601294599997345,93.89
1,numpy,128,0.03,16.498909499990987,94.43
2,tensorflow,128,0.03,8.665851700003259,94.16
2,numpy,128,0.03,14.35674210000434,94.05
3,tensorflow,128,0.03,8.700372699997388,94.23
3,numpy,128,0.03,21.570389900007285,94.49
4,tensorflow,128,0.03,8.330257900001016,94.35
4,numpy,128,0.03,14.747619000001578,94.43
5,tensorflow,128,0.03,8.256395700009307,94.28
5,numpy,128,0.03,14.721747100003995,94.38
1,tensorflow,128,0.1,8.788407999993069,96.3
1,numpy,128,0.1,19.66404419997707,96.39999999999999
2,tensorflow,128,0.1,8.62139039998874,96.47
2,numpy,128,0.1,14.933205800014548,96.52
3,tensorflow,128,0.1,8.268213899980765,96.38
3,numpy,128,0.1,14.550875799992355,96.39
4,tensorflow,128,0.1,8.290445899998304,96.48
4,numpy,128,0.1,14.56588519999059,96.78
5,tensorflow,128,0.1,8.488525499997195,96.73
5,numpy,128,0.1,14.481114599999273,96.61999999999999
1,tensorflow,256,0.001,5.166744899994228,78.16
1,numpy,256,0.001,15.030297500023153,77.44
2,tensorflow,256,0.001,5.1241477000003215,76.91
2,numpy,256,0.001,15.045448499993654,77.95
3,tensorflow,256,0.001,5.075402899994515,76.59
3,numpy,256,0.001,14.958165499992901,75.66000000000001
4,tensorflow,256,0.001,5.081743999995524,77.60000000000001
4,numpy,256,0.001,15.026815200020792,79.53
5,tensorflow,256,0.001,5.137270899984287,77.31
5,numpy,256,0.001,14.876820999983465,78.51
1,tensorflow,256,0.003,5.000783100025728,87.02
1,numpy,256,0.003,15.555904100008775,86.68
2,tensorflow,256,0.003,5.096444599999813,86.91
2,numpy,256,0.003,15.402788900013547,86.42
3,tensorflow,256,0.003,5.211646899988409,86.89
3,numpy,256,0.003,14.852092199987965,87.61
4,tensorflow,256,0.003,5.218094800016843,86.79
4,numpy,256,0.003,14.907324500003597,86.83999999999999
5,tensorflow,256,0.003,5.0212029999820516,86.37
5,numpy,256,0.003,14.816373000008753,86.64
1,tensorflow,256,0.01,5.123539499996696,90.77
1,numpy,256,0.01,15.077151900011813,90.64999999999999
2,tensorflow,256,0.01,5.039099999994505,90.83
2,numpy,256,0.01,14.603147599991644,90.83
3,tensorflow,256,0.01,5.046079299994744,90.60000000000001
3,numpy,256,0.01,14.806718600011664,90.91
4,tensorflow,256,0.01,5.134936000016751,90.47
4,numpy,256,0.01,14.860852600017097,90.88000000000001
5,tensorflow,256,0.01,5.105300399998669,90.60000000000001
5,numpy,256,0.01,15.46978460001992,90.49000000000001
1,tensorflow,256,0.03,5.198288300016429,92.75
1,numpy,256,0.03,14.877868099982152,93.01
2,tensorflow,256,0.03,5.955425000021933,93.05
2,numpy,256,0.03,16.362784800003283,93.03
3,tensorflow,256,0.03,5.119450999976834,92.77
3,numpy,256,0.03,15.06996719999006,93.34
4,tensorflow,256,0.03,5.040790500002913,93.04
4,numpy,256,0.03,14.906269999977667,93.06
5,tensorflow,256,0.03,5.091986599989468,92.95
5,numpy,256,0.03,14.991490899992641,92.58
1,tensorflow,256,0.1,5.163795400003437,95.39999999999999
1,numpy,256,0.1,15.159942900005262,95.32000000000001
2,tensorflow,256,0.1,5.071004700002959,95.28
2,numpy,256,0.1,15.031186400010483,95.39
3,tensorflow,256,0.1,5.165254499996081,95.33
3,numpy,256,0.1,16.113272899994627,95.39999999999999
4,tensorflow,256,0.1,5.184564900002442,95.16
4,numpy,256,0.1,15.01190789998509,95.03
5,tensorflow,256,0.1,5.056164900015574,95.36
5,numpy,256,0.1,15.144070200010901,95.52000000000001
1,tensorflow,512,0.001,3.2841010999982245,64.14
1,numpy,512,0.001,14.497643299982883,65.32
2,tensorflow,512,0.001,3.2467636999790557,66.99000000000001
2,numpy,512,0.001,17.250674099981552,67.88
3,tensorflow,512,0.001,3.372917000000598,66.84
3,numpy,512,0.001,14.550193100003526,62.22
4,tensorflow,512,0.001,3.324163799989037,65.2
4,numpy,512,0.001,15.18817070001387,67.67
5,tensorflow,512,0.001,3.286668600019766,65.18
5,numpy,512,0.001,15.411844200018095,68.28999999999999
1,tensorflow,512,0.003,3.3824466000078246,83.14
1,numpy,512,0.003,16.26371349999681,82.05
2,tensorflow,512,0.003,3.4696621999901254,81.65
2,numpy,512,0.003,16.140487500000745,83.07
3,tensorflow,512,0.003,3.544944299996132,82.92
3,numpy,512,0.003,14.884855300013442,82.26
4,tensorflow,512,0.003,3.2937079000112135,82.0
4,numpy,512,0.003,14.772184700006619,81.85
5,tensorflow,512,0.003,3.3052271000051405,83.24000000000001
5,numpy,512,0.003,14.68228390000877,84.24000000000001
1,tensorflow,512,0.01,3.340124400012428,88.88000000000001
1,numpy,512,0.01,14.63918910000939,88.81
2,tensorflow,512,0.01,3.3536652000038885,89.07000000000001
2,numpy,512,0.01,14.841956699994626,88.84
3,tensorflow,512,0.01,3.315613199985819,88.38000000000001
3,numpy,512,0.01,14.845530999999028,88.67
4,tensorflow,512,0.01,3.2959539000003133,89.05
4,numpy,512,0.01,14.657180000009248,89.37
5,tensorflow,512,0.01,3.316801699984353,89.05999999999999
5,numpy,512,0.01,14.721243999985745,88.94999999999999
1,tensorflow,512,0.03,3.2807370999944396,91.36
1,numpy,512,0.03,14.796589399978984,91.57
2,tensorflow,512,0.03,3.320756100001745,91.56
2,numpy,512,0.03,14.603700400009984,91.56
3,tensorflow,512,0.03,3.2676040999940597,91.72
3,numpy,512,0.03,14.725792299985187,91.61
4,tensorflow,512,0.03,3.3450264999992214,91.59
4,numpy,512,0.03,14.910991299984744,91.52
5,tensorflow,512,0.03,3.3724316000007093,91.53
5,numpy,512,0.03,14.87921539999661,91.27
1,tensorflow,512,0.1,3.460482900001807,93.86
1,numpy,512,0.1,14.899599199998192,93.89
2,tensorflow,512,0.1,3.3558670999773312,93.73
2,numpy,512,0.1,14.66247770001064,93.91000000000001
3,tensorflow,512,0.1,3.274326300015673,93.97
3,numpy,512,0.1,15.959822100005113,93.97
4,tensorflow,512,0.1,3.9337993999943137,93.97999999999999
4,numpy,512,0.1,16.235381299979053,93.86
5,tensorflow,512,0.1,3.405500300024869,93.83
5,numpy,512,0.1,15.532589500013273,93.84
