loss,accuracy
1.171494,0.707753
0.53387,0.864413
0.425266,0.885727
0.377888,0.895873
0.349402,0.902423
0.32935,0.90744
0.313861,0.91155
0.301186,0.914977
0.290376,0.918297
0.280888,0.92096
