loss,accuracy
1.664189,60.039167
1.194507,74.7925
0.92931,79.536667
0.776863,82.274167
0.681356,83.963333
0.616627,85.11
0.569863,85.951667
0.5345,86.593333
0.506704,87.0725
0.484234,87.463333
